22:06:41.588 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.5.Final
22:06:43.999 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [8ff68a37-dfe4-4816-a10d-071e0009dc58_config-0] Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$337/1586470445
22:06:44.000 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [8ff68a37-dfe4-4816-a10d-071e0009dc58_config-0] Registry connection listener to current client:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$1
22:06:44.001 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [8ff68a37-dfe4-4816-a10d-071e0009dc58_config-0] RpcClient init, ServerListFactory = com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$2
22:06:44.010 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [8ff68a37-dfe4-4816-a10d-071e0009dc58_config-0] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8848}
22:06:47.434 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [8ff68a37-dfe4-4816-a10d-071e0009dc58_config-0] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8848}
22:06:49.468 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [8ff68a37-dfe4-4816-a10d-071e0009dc58_config-0] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8848}
22:06:51.504 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [8ff68a37-dfe4-4816-a10d-071e0009dc58_config-0] Try to reconnect to a new server, server is  not appointed, will choose a random server.
22:06:51.504 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [8ff68a37-dfe4-4816-a10d-071e0009dc58_config-0] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
22:06:51.506 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [8ff68a37-dfe4-4816-a10d-071e0009dc58_config-0] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda$346/1792088662
22:06:53.539 [main] INFO  c.t.s.ToweloveSystemApplication - [logStartupProfileInfo,637] - The following 1 profile is active: "dev"
22:12:35.653 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.5.Final
22:12:37.291 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,80] - [RpcClientFactory] create a new rpc client of 2a157ebf-41b0-4941-83a6-c96aea1e514e_config-0
22:12:37.322 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 20 ms to scan 1 urls, producing 3 keys and 6 values 
22:12:37.342 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 9 ms to scan 1 urls, producing 4 keys and 9 values 
22:12:37.353 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 9 ms to scan 1 urls, producing 3 keys and 10 values 
22:12:37.480 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 125 ms to scan 198 urls, producing 0 keys and 0 values 
22:12:37.488 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 7 ms to scan 1 urls, producing 1 keys and 5 values 
22:12:37.498 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 7 ms to scan 1 urls, producing 1 keys and 7 values 
22:12:37.508 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 8 ms to scan 1 urls, producing 2 keys and 8 values 
22:12:37.610 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 100 ms to scan 198 urls, producing 0 keys and 0 values 
22:12:37.611 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2a157ebf-41b0-4941-83a6-c96aea1e514e_config-0] RpcClient init label, labels = {module=config, Vipserver-Tag=null, source=sdk, Amory-Tag=null, Location-Tag=null, taskId=0, AppName=unknown}
22:12:37.612 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2a157ebf-41b0-4941-83a6-c96aea1e514e_config-0] Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$336/1893563925
22:12:37.612 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2a157ebf-41b0-4941-83a6-c96aea1e514e_config-0] Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$337/1251967187
22:12:37.612 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2a157ebf-41b0-4941-83a6-c96aea1e514e_config-0] Registry connection listener to current client:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$1
22:12:37.613 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2a157ebf-41b0-4941-83a6-c96aea1e514e_config-0] RpcClient init, ServerListFactory = com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$2
22:12:37.619 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2a157ebf-41b0-4941-83a6-c96aea1e514e_config-0] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8848}
22:12:38.835 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2a157ebf-41b0-4941-83a6-c96aea1e514e_config-0] Success to connect to server [127.0.0.1:8848] on start up, connectionId = 1677852758569_127.0.0.1_61460
22:12:38.836 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2a157ebf-41b0-4941-83a6-c96aea1e514e_config-0] Notify connected event to listeners.
22:12:38.836 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2a157ebf-41b0-4941-83a6-c96aea1e514e_config-0] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
22:12:38.836 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2a157ebf-41b0-4941-83a6-c96aea1e514e_config-0] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda$346/1791589252
22:12:38.945 [main] INFO  c.t.s.ToweloveSystemApplication - [logStartupProfileInfo,637] - The following 1 profile is active: "dev"
22:12:40.726 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-9201"]
22:12:40.726 [main] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
22:12:40.727 [main] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.70]
22:12:40.854 [main] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring embedded WebApplicationContext
22:12:41.945 [main] INFO  c.a.c.s.SentinelWebMvcConfigurer - [addInterceptors,52] - [Sentinel Starter] register SentinelWebInterceptor with urlPatterns: [/**].
22:12:45.689 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,80] - [RpcClientFactory] create a new rpc client of 0ee45f2c-eb1e-4ea7-8c66-79d969cbb976
22:12:45.689 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [0ee45f2c-eb1e-4ea7-8c66-79d969cbb976] RpcClient init label, labels = {module=naming, source=sdk}
22:12:45.690 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [0ee45f2c-eb1e-4ea7-8c66-79d969cbb976] RpcClient init, ServerListFactory = com.alibaba.nacos.client.naming.core.ServerListManager
22:12:45.690 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [0ee45f2c-eb1e-4ea7-8c66-79d969cbb976] Registry connection listener to current client:com.alibaba.nacos.client.naming.remote.gprc.redo.NamingGrpcRedoService
22:12:45.691 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [0ee45f2c-eb1e-4ea7-8c66-79d969cbb976] Register server push request handler:com.alibaba.nacos.client.naming.remote.gprc.NamingPushRequestHandler
22:12:45.691 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [0ee45f2c-eb1e-4ea7-8c66-79d969cbb976] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8848}
22:12:45.817 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [0ee45f2c-eb1e-4ea7-8c66-79d969cbb976] Success to connect to server [127.0.0.1:8848] on start up, connectionId = 1677852765697_127.0.0.1_61466
22:12:45.817 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [0ee45f2c-eb1e-4ea7-8c66-79d969cbb976] Notify connected event to listeners.
22:12:45.817 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [0ee45f2c-eb1e-4ea7-8c66-79d969cbb976] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
22:12:45.817 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [0ee45f2c-eb1e-4ea7-8c66-79d969cbb976] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda$346/1791589252
22:12:45.860 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Starting ProtocolHandler ["http-nio-9201"]
22:12:45.888 [main] INFO  c.a.c.n.r.NacosServiceRegistry - [register,75] - nacos registry, DEFAULT_GROUP towelove-system 192.168.146.1:9201 register finished
22:12:46.775 [nacos-grpc-client-executor-8] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [0ee45f2c-eb1e-4ea7-8c66-79d969cbb976] Receive server push request, request = NotifySubscriberRequest, requestId = 1
22:12:46.782 [nacos-grpc-client-executor-8] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [0ee45f2c-eb1e-4ea7-8c66-79d969cbb976] Ack server push request, request = NotifySubscriberRequest, requestId = 1
22:12:47.201 [main] INFO  c.t.s.ToweloveSystemApplication - [logStarted,61] - Started ToweloveSystemApplication in 13.26 seconds (JVM running for 14.129)
22:12:47.211 [main] INFO  c.a.c.n.r.NacosContextRefresher - [registerNacosListener,129] - [Nacos Config] Listening config: dataId=towelove-base-dev.yaml, group=DEFAULT_GROUP
22:12:47.211 [main] INFO  c.a.c.n.r.NacosContextRefresher - [registerNacosListener,129] - [Nacos Config] Listening config: dataId=towelove-system.yaml, group=DEFAULT_GROUP
22:12:47.212 [main] INFO  c.a.c.n.r.NacosContextRefresher - [registerNacosListener,129] - [Nacos Config] Listening config: dataId=towelove-mysql-dev.yaml, group=DEFAULT_GROUP
22:12:47.212 [main] INFO  c.a.c.n.r.NacosContextRefresher - [registerNacosListener,129] - [Nacos Config] Listening config: dataId=towelove-system, group=DEFAULT_GROUP
22:12:47.213 [main] INFO  c.a.c.n.r.NacosContextRefresher - [registerNacosListener,129] - [Nacos Config] Listening config: dataId=towelove-system-dev.yaml, group=DEFAULT_GROUP
22:12:47.213 [main] INFO  c.a.c.n.r.NacosContextRefresher - [registerNacosListener,129] - [Nacos Config] Listening config: dataId=towelove-redis-dev.yaml, group=DEFAULT_GROUP
22:12:47.634 [RMI TCP Connection(5)-192.168.215.132] INFO  c.z.h.HikariDataSource - [getConnection,110] - HikariPool-1 - Starting...
22:12:47.767 [RMI TCP Connection(5)-192.168.215.132] INFO  c.z.h.HikariDataSource - [getConnection,123] - HikariPool-1 - Start completed.
22:12:48.153 [RMI TCP Connection(8)-192.168.215.132] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring DispatcherServlet 'dispatcherServlet'
22:13:30.954 [SpringApplicationShutdownHook] INFO  c.a.c.n.r.NacosServiceRegistry - [deregister,94] - De-registering from Nacos Server now...
22:13:30.959 [SpringApplicationShutdownHook] INFO  c.a.c.n.r.NacosServiceRegistry - [deregister,114] - De-registration finished.
22:13:31.295 [SpringApplicationShutdownHook] INFO  c.a.n.c.r.client - [shutdown,454] - Shutdown rpc client, set status to shutdown
22:13:31.295 [SpringApplicationShutdownHook] INFO  c.a.n.c.r.client - [shutdown,456] - Shutdown client event executor java.util.concurrent.ScheduledThreadPoolExecutor@46996bd6[Running, pool size = 2, active threads = 2, queued tasks = 0, completed tasks = 0]
22:13:31.295 [SpringApplicationShutdownHook] INFO  c.a.n.c.r.client - [closeConnection,591] - Close current connection 1677852765697_127.0.0.1_61466
22:13:31.298 [SpringApplicationShutdownHook] INFO  c.a.n.c.r.c.g.GrpcClient - [shutdown,85] - Shutdown grpc executor java.util.concurrent.ThreadPoolExecutor@452ff1d3[Running, pool size = 8, active threads = 0, queued tasks = 0, completed tasks = 32]
22:13:31.428 [SpringApplicationShutdownHook] INFO  c.z.h.HikariDataSource - [close,350] - HikariPool-1 - Shutdown initiated...
22:13:31.434 [SpringApplicationShutdownHook] INFO  c.z.h.HikariDataSource - [close,352] - HikariPool-1 - Shutdown completed.
22:13:36.190 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.5.Final
22:13:37.839 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,80] - [RpcClientFactory] create a new rpc client of 4cf44347-d9d4-44ae-b62f-aabf431f0e1c_config-0
22:13:37.874 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 22 ms to scan 1 urls, producing 3 keys and 6 values 
22:13:37.896 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 10 ms to scan 1 urls, producing 4 keys and 9 values 
22:13:37.908 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 10 ms to scan 1 urls, producing 3 keys and 10 values 
22:13:38.037 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 126 ms to scan 199 urls, producing 0 keys and 0 values 
22:13:38.046 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 7 ms to scan 1 urls, producing 1 keys and 5 values 
22:13:38.058 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 8 ms to scan 1 urls, producing 1 keys and 7 values 
22:13:38.074 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 13 ms to scan 1 urls, producing 2 keys and 8 values 
22:13:38.170 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 94 ms to scan 199 urls, producing 0 keys and 0 values 
22:13:38.171 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [4cf44347-d9d4-44ae-b62f-aabf431f0e1c_config-0] RpcClient init label, labels = {module=config, Vipserver-Tag=null, source=sdk, Amory-Tag=null, Location-Tag=null, taskId=0, AppName=unknown}
22:13:38.172 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [4cf44347-d9d4-44ae-b62f-aabf431f0e1c_config-0] Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$336/753426788
22:13:38.172 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [4cf44347-d9d4-44ae-b62f-aabf431f0e1c_config-0] Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$337/1586470445
22:13:38.173 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [4cf44347-d9d4-44ae-b62f-aabf431f0e1c_config-0] Registry connection listener to current client:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$1
22:13:38.173 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [4cf44347-d9d4-44ae-b62f-aabf431f0e1c_config-0] RpcClient init, ServerListFactory = com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$2
22:13:38.180 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [4cf44347-d9d4-44ae-b62f-aabf431f0e1c_config-0] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8848}
22:13:39.367 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [4cf44347-d9d4-44ae-b62f-aabf431f0e1c_config-0] Success to connect to server [127.0.0.1:8848] on start up, connectionId = 1677852819202_127.0.0.1_61617
22:13:39.368 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [4cf44347-d9d4-44ae-b62f-aabf431f0e1c_config-0] Notify connected event to listeners.
22:13:39.368 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [4cf44347-d9d4-44ae-b62f-aabf431f0e1c_config-0] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
22:13:39.368 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [4cf44347-d9d4-44ae-b62f-aabf431f0e1c_config-0] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda$346/123674777
22:13:39.447 [main] INFO  c.t.s.ToweloveSystemApplication - [logStartupProfileInfo,637] - The following 1 profile is active: "dev"
22:13:41.053 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-9201"]
22:13:41.053 [main] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
22:13:41.053 [main] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.70]
22:13:41.166 [main] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring embedded WebApplicationContext
22:13:42.396 [main] INFO  c.a.c.s.SentinelWebMvcConfigurer - [addInterceptors,52] - [Sentinel Starter] register SentinelWebInterceptor with urlPatterns: [/**].
22:14:19.764 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [4cf44347-d9d4-44ae-b62f-aabf431f0e1c_config-0] Server healthy check fail, currentConnection = 1677852819202_127.0.0.1_61617
22:14:19.765 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [4cf44347-d9d4-44ae-b62f-aabf431f0e1c_config-0] Try to reconnect to a new server, server is  not appointed, will choose a random server.
22:14:19.780 [nacos-grpc-client-executor-18] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [4cf44347-d9d4-44ae-b62f-aabf431f0e1c_config-0] Receive server push request, request = ClientDetectionRequest, requestId = 2
22:14:19.780 [nacos-grpc-client-executor-18] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [4cf44347-d9d4-44ae-b62f-aabf431f0e1c_config-0] Ack server push request, request = ClientDetectionRequest, requestId = 2
22:14:19.783 [nacos-grpc-client-executor-18] INFO  c.a.n.c.r.c.g.GrpcClient - [printIfInfoEnabled,60] - [1677852819202_127.0.0.1_61617]Ignore complete event,isRunning:false,isAbandon=false
22:14:19.884 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [4cf44347-d9d4-44ae-b62f-aabf431f0e1c_config-0] Success to connect a server [127.0.0.1:8848], connectionId = 1677852859772_127.0.0.1_61646
22:14:19.884 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [4cf44347-d9d4-44ae-b62f-aabf431f0e1c_config-0] Abandon prev connection, server is 127.0.0.1:8848, connectionId is 1677852819202_127.0.0.1_61617
22:14:19.884 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [closeConnection,591] - Close current connection 1677852819202_127.0.0.1_61617
22:14:19.889 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [4cf44347-d9d4-44ae-b62f-aabf431f0e1c_config-0] Notify disconnected event to listeners
22:14:19.890 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [4cf44347-d9d4-44ae-b62f-aabf431f0e1c_config-0] Notify connected event to listeners.
22:14:23.650 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,80] - [RpcClientFactory] create a new rpc client of fd4ba777-b111-4c8a-b7f3-f52fdc0fda00
22:14:23.650 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [fd4ba777-b111-4c8a-b7f3-f52fdc0fda00] RpcClient init label, labels = {module=naming, source=sdk}
22:14:23.651 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [fd4ba777-b111-4c8a-b7f3-f52fdc0fda00] RpcClient init, ServerListFactory = com.alibaba.nacos.client.naming.core.ServerListManager
22:14:23.651 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [fd4ba777-b111-4c8a-b7f3-f52fdc0fda00] Registry connection listener to current client:com.alibaba.nacos.client.naming.remote.gprc.redo.NamingGrpcRedoService
22:14:23.651 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [fd4ba777-b111-4c8a-b7f3-f52fdc0fda00] Register server push request handler:com.alibaba.nacos.client.naming.remote.gprc.NamingPushRequestHandler
22:14:23.652 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [fd4ba777-b111-4c8a-b7f3-f52fdc0fda00] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8848}
22:14:23.774 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [fd4ba777-b111-4c8a-b7f3-f52fdc0fda00] Success to connect to server [127.0.0.1:8848] on start up, connectionId = 1677852863658_127.0.0.1_61647
22:14:23.774 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [fd4ba777-b111-4c8a-b7f3-f52fdc0fda00] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
22:14:23.774 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [fd4ba777-b111-4c8a-b7f3-f52fdc0fda00] Notify connected event to listeners.
22:14:23.774 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [fd4ba777-b111-4c8a-b7f3-f52fdc0fda00] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda$346/123674777
22:14:23.803 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Starting ProtocolHandler ["http-nio-9201"]
22:14:23.825 [main] INFO  c.a.c.n.r.NacosServiceRegistry - [register,75] - nacos registry, DEFAULT_GROUP towelove-system 192.168.146.1:9201 register finished
22:14:24.372 [nacos-grpc-client-executor-8] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [fd4ba777-b111-4c8a-b7f3-f52fdc0fda00] Receive server push request, request = NotifySubscriberRequest, requestId = 3
22:14:24.379 [nacos-grpc-client-executor-8] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [fd4ba777-b111-4c8a-b7f3-f52fdc0fda00] Ack server push request, request = NotifySubscriberRequest, requestId = 3
22:14:25.151 [main] INFO  c.t.s.ToweloveSystemApplication - [logStarted,61] - Started ToweloveSystemApplication in 50.658 seconds (JVM running for 51.617)
22:14:25.162 [main] INFO  c.a.c.n.r.NacosContextRefresher - [registerNacosListener,129] - [Nacos Config] Listening config: dataId=towelove-base-dev.yaml, group=DEFAULT_GROUP
22:14:25.162 [main] INFO  c.a.c.n.r.NacosContextRefresher - [registerNacosListener,129] - [Nacos Config] Listening config: dataId=towelove-system.yaml, group=DEFAULT_GROUP
22:14:25.163 [main] INFO  c.a.c.n.r.NacosContextRefresher - [registerNacosListener,129] - [Nacos Config] Listening config: dataId=towelove-mysql-dev.yaml, group=DEFAULT_GROUP
22:14:25.163 [main] INFO  c.a.c.n.r.NacosContextRefresher - [registerNacosListener,129] - [Nacos Config] Listening config: dataId=towelove-system, group=DEFAULT_GROUP
22:14:25.163 [main] INFO  c.a.c.n.r.NacosContextRefresher - [registerNacosListener,129] - [Nacos Config] Listening config: dataId=towelove-system-dev.yaml, group=DEFAULT_GROUP
22:14:25.164 [main] INFO  c.a.c.n.r.NacosContextRefresher - [registerNacosListener,129] - [Nacos Config] Listening config: dataId=towelove-redis-dev.yaml, group=DEFAULT_GROUP
22:14:25.469 [RMI TCP Connection(2)-192.168.215.132] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring DispatcherServlet 'dispatcherServlet'
22:14:25.485 [RMI TCP Connection(1)-192.168.215.132] INFO  c.z.h.HikariDataSource - [getConnection,110] - HikariPool-1 - Starting...
22:14:25.627 [RMI TCP Connection(1)-192.168.215.132] INFO  c.z.h.HikariDataSource - [getConnection,123] - HikariPool-1 - Start completed.
22:32:53.140 [nacos-grpc-client-executor-237] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [fd4ba777-b111-4c8a-b7f3-f52fdc0fda00] Receive server push request, request = ClientDetectionRequest, requestId = 4
22:32:53.140 [nacos-grpc-client-executor-257] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [4cf44347-d9d4-44ae-b62f-aabf431f0e1c_config-0] Receive server push request, request = ClientDetectionRequest, requestId = 5
22:32:53.140 [nacos-grpc-client-executor-237] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [fd4ba777-b111-4c8a-b7f3-f52fdc0fda00] Ack server push request, request = ClientDetectionRequest, requestId = 4
22:32:53.140 [nacos-grpc-client-executor-257] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [4cf44347-d9d4-44ae-b62f-aabf431f0e1c_config-0] Ack server push request, request = ClientDetectionRequest, requestId = 5
22:32:53.142 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [4cf44347-d9d4-44ae-b62f-aabf431f0e1c_config-0] Server healthy check fail, currentConnection = 1677852859772_127.0.0.1_61646
22:32:53.142 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [fd4ba777-b111-4c8a-b7f3-f52fdc0fda00] Server healthy check fail, currentConnection = 1677852863658_127.0.0.1_61647
22:32:53.142 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [4cf44347-d9d4-44ae-b62f-aabf431f0e1c_config-0] Try to reconnect to a new server, server is  not appointed, will choose a random server.
